LEA Code,LEA Name,School Code,School Name,Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Ungraded
109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,367,0,0,0,0,0,0,0,0,0,0,0,107,111,88,61,0,0
109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,257,0,0,0,0,0,0,0,0,82,86,89,0,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1250,Harbor Point Behavioral Health,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,Cesar Chavez PCS for Public Policy,1171,HRMD High Road Academy of Prince Georges County,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1051,Ivymount School Rockville MD,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1070,Kingsbury Day School DC,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1183,New Beginnings Vocational Program DC,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
109,Cesar Chavez PCS for Public Policy,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1013,Phillips School Laurel Laurel MD,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Cesar Chavez PCS for Public Policy,1159,The Pathways School Northwood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,City Arts & Prep PCS,210,City Arts & Prep PCS,499,34,58,47,59,56,49,56,39,48,32,21,0,0,0,0,0,0
153,City Arts & Prep PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176,Community College Preparatory Academy PCS,216,Community College Preparatory Academy PCS,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0
169,Creative Minds International PCS,1049,Accotink Academy Therapeutic Day School Springfield VA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
169,Creative Minds International PCS,3069,Creative Minds International PCS,441,56,61,60,39,40,40,40,35,35,35,0,0,0,0,0,0,0
169,Creative Minds International PCS,1044,Episcopal Center for Children DC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,Creative Minds International PCS,1051,Ivymount School Rockville MD,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,DC Bilingual PCS,199,DC Bilingual PCS,440,36,59,49,73,72,64,45,42,0,0,0,0,0,0,0,0,0
114,DC Bilingual PCS,1044,Episcopal Center for Children DC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,DC Bilingual PCS,1070,Kingsbury Day School DC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,DC Prep PCS,1049,Accotink Academy Therapeutic Day School Springfield VA,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
115,DC Prep PCS,1020,Childrens Guild Prince Georges Chillum MD,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
115,DC Prep PCS,276,DC Prep PCS - Anacostia Elementary School,304,84,70,73,77,0,0,0,0,0,0,0,0,0,0,0,0,0
115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,453,72,79,76,74,76,76,0,0,0,0,0,0,0,0,0,0,0
115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,335,0,0,0,0,0,0,80,79,69,53,54,0,0,0,0,0,0
115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,451,82,71,75,75,73,75,0,0,0,0,0,0,0,0,0,0,0
115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,332,0,0,0,0,0,0,78,80,68,57,49,0,0,0,0,0,0
115,DC Prep PCS,1044,Episcopal Center for Children DC,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,DC Prep PCS,1070,Kingsbury Day School DC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
