Service Tag,System Family,System LOB,System Model,System Ship Date,Time from ship,System Description,Active Service Calls,Service Description,Service Type, Service Provider, Service Start Date,Service End Date,Days Remaining,Group Name,
8FZ05S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Complete Care,CC,,01/04/2012,01/04/2015,0,,
8FZ05S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
CQ9GYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2013,01/04/2015,0,,
CQ9GYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
CQ9PYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2013,01/04/2015,0,,
CQ9PYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
8FZ15S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2013,01/04/2015,0,,
8FZ15S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
8FZ15S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Complete Care,CC,,01/04/2012,01/04/2015,0,,
8FZ65S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2013,01/04/2015,0,,
8FZ65S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Complete Care,CC,,01/04/2012,01/04/2015,0,,
8FZ65S1,Latitude,Laptops,Latitude E5420,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
CQ9FYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2013,01/04/2015,0,,
CQ9FYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
CQ9HYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2013,01/04/2015,0,,
CQ9HYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 790,01/04/2012,2305,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/04/2012,01/04/2013,0,,
D22KYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D23JYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D23KYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D22NYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D236YR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D23FYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D23MYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D22LYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D238YR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
D23NYR1,OptiPlex,Desktops & All-in-Ones,OptiPlex 390,01/05/2012,2304,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/05/2012,01/05/2013,0,,
BZ1X8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 380,01/06/2011,2668,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2012,01/06/2014,0,,
BZ1X8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 380,01/06/2011,2668,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/06/2011,01/06/2012,0,,
3DN09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
3DN09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
3DP09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
3DP09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38T19P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38T19P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
3DL09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
3DL09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
3DM19P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
3DM19P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38Q29P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38Q29P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38R09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38R09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38R29P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38R29P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38S09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38S09P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38S29P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38S29P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
3DP19P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
3DP19P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38RY8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38RY8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38RZ8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38RZ8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
38SZ8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/08/2012,01/07/2014,0,,
38SZ8P1,OptiPlex,Desktops & All-in-Ones,OptiPlex 780,01/07/2011,2667,,,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),ND,,01/07/2011,01/07/2012,0,,
8YFCCC1,OptiPlex,Desktops & All-in-Ones,OptiPlex 745,01/09/2007,4126,,,Keep Your Hard Drive Service,KK,,05/29/2012,10/31/2012,0,,
